Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,Reconcile phi,Type Alcohol_right,MW_FAME/FAEE,MW_Oil,MW_DAG,MW_MAG,MW_FA
10,b,298.15,2,0.3907,0.3994,0.2099,0.0,0.0,0.0,0.0,0.0,0.8691800914802928,0.01153997215081029,0.1192799664324063,0.0,0.0,0.0,0.0,0.0,0.03278231545773009,0.6895311163538764,0.2776865456999725,0.0,0.0,0.0,0.0,0.0,0.4279275899612324,2,320.7795402256156,916.3386206768466,624.5590804512311,332.7795402256156,278.7795402256156
10,b,313.15,2,0.4233,0.4774,0.0993,0.0,0.0,0.0,0.0,0.0,0.930006995471914,0.01995644646287063,0.05003658669540791,0.0,0.0,0.0,0.0,0.0,0.02633184333958691,0.8357738252018835,0.1378943090288517,0.0,0.0,0.0,0.0,0.0,0.4392819208580875,2,320.7795402256156,916.3386206768466,624.5590804512311,332.7795402256156,278.7795402256156
11,a,293.15,2,0.4732,0.4691,0.05769999999999999,0.0,0.0,0.0,0.0,0.0,0.9486787319240559,0.01601945182938054,0.03530184294013024,0.0,0.0,0.0,0.0,0.0,0.02946052218733538,0.891936422228068,0.07860303067288424,0.0,0.0,0.0,0.0,0.0,0.4827357346845413,2,262.7332630972729,742.1997892918187,508.4665261945457,274.7332630972729,220.7332630972729
12,ca,353.15,2,0.6646599999999999,0.33534,0.0,0.0,0.0,0.0,0.0,0.0,0.9991899999999998,0.0008099999999999461,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.9981,0.0,0.0,0.0,0.0,0.0,0.0,0.6645609602021478,,,,,,
12,a,323.15,2,0.25813,0.32604,0.41583,0.0,0.0,0.0,0.0,0.0,0.7499637629424218,0.03976434008774977,0.2103361558869631,0.0,0.0,0.0,0.0,0.0,0.07238216567967422,0.4341559689591047,0.4934375970909377,0.0,0.0,0.0,0.0,0.0,0.2741335288188144,2,322.0,920.0,627.0,334.0,280.0
12,a,323.15,2,0.32158,0.34615,0.33227,0.0,0.0,0.0,0.0,0.0,0.8255167082857644,0.02471674095645006,0.1498435109696184,0.0,0.0,0.0,0.0,0.0,0.03677395091502666,0.5278119727189783,0.4353705813526164,0.0,0.0,0.0,0.0,0.0,0.361088639386522,2,322.0,920.0,627.0,334.0,280.0
12,c,323.15,2,0.24958,0.252,0.49842,0.0,0.0,0.0,0.0,0.0,0.5705735591575442,0.101900609807593,0.3275258831554025,0.0,0.0,0.0,0.0,0.0,0.123395627799202,0.3110049138956574,0.5655994378162635,0.0,0.0,0.0,0.0,0.0,0.2821793370202817,2,298.0,848.0,579.0,310.0,256.0
12,c,323.15,2,0.34244,0.34556,0.312,0.0,0.0,0.0,0.0,0.0,0.806595818981927,0.02921711875277034,0.1641870943468371,0.0,0.0,0.0,0.0,0.0,0.02270704290207826,0.5634722629549361,0.4138206720436744,0.0,0.0,0.0,0.0,0.0,0.4078805142444762,2,298.0,848.0,579.0,310.0,256.0
12,d,323.15,2,0.43603,0.43645,0.12752,0.0,0.0,0.0,0.0,0.0,0.9125800953313123,0.0004381501376046287,0.08713627839741078,0.0,0.0,0.0,0.0,0.0,0.004358454535475036,0.8314009420202603,0.1641006316829696,0.0,0.0,0.0,0.0,0.0,0.4752931730257704,2,242.0,680.0,467.0,254.0,200.0
12,d,323.15,2,0.43603,0.43645,0.12752,0.0,0.0,0.0,0.0,0.0,0.9125800953313123,0.0004381501376046287,0.08713627839741078,0.0,0.0,0.0,0.0,0.0,0.004358454535475036,0.8314009420202603,0.1641006316829696,0.0,0.0,0.0,0.0,0.0,0.4752931730257704,2,242.0,680.0,467.0,254.0,200.0
12,d,353.15,2,0.4478,0.45193,0.10027,0.0,0.0,0.0,0.0,0.0,0.9142881557107018,0.00557937881982706,0.07871305038341174,0.0,0.0,0.0,0.0,0.0,0.004411761256906619,0.8761778900358121,0.1207594761124444,0.0,0.0,0.0,0.0,0.0,0.4873060137022923,2,242.0,680.0,467.0,254.0,200.0
