Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Penaut oil biodiesel - Ethanol - Glycerol,323.15,0.20142751376233928,0.13584948729278074,0.03941618773679445,0.0,0.0,0.0,0.0,0.0
Cottonseed oil biodiesel - Ethanol - Glycerol,313.15,0.04291431607520207,0.07943428224696729,0.034139011680011495,0.0,0.0,0.0,0.0,0.0
Refined cottonseed oil biodiesel - DAG - MAG - Ethanol,318.2,,,,,,,,
Macauba oil biodiesel - Ethanol - Water,298.2,1.3279001366490002,0.0,0.32924505409415034,0.0,0.0,0.0,0.0,0.6476472848925409
Rice bran oil - Ethanol - Free Fatty Acids - Water,333.15,0.0,0.0,0.13186613856278967,0.4515407013069873,0.0,0.0,0.31967548463373907,0.5568665002773239
Refined sunflower oil biodiesel - Methanol - Glycerol - Water,298.15,0.3081758715929242,0.6894952811663052,0.1846535453537618,0.0,0.0,0.0,0.0,1.0361864197504171
Triolein - Ethanol - Oleic acid,303.15,0.0,0.0,0.12583262694905858,0.2066433475103562,0.0,0.0,0.046328731201187336,0.0
20 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,308.15,0.28244477929165573,0.15596108410727488,0.08882408634316027,0.0,0.0,0.0,0.0,0.0
,303.15,1.831483603684034,1.5659635520259225,0.2592799395428025,0.0,0.0,0.0,0.0,0.26876149055802634
Palmitic oil biodiesel - Ethanol - Glycerol,323.15,0.7001925965340956,0.9163622218308161,0.17130781498092343,0.0,0.0,0.0,0.0,0.0
Chicha oil biodiesel - Ethanol - Glycerol,333.15,0.07204836823451284,0.5226840572682823,0.05981080775001097,0.0,0.0,0.0,0.0,0.0
Rapeseed oil biodiesel - Ethanol - Rapeseed oil,333.0,0.07394141881056558,0.0,0.10815457861295662,0.20301667333128265,0.0,0.0,0.0,0.0
Sunflower oil - DAG - MAG - Ethanol,303.2,,,,,,,,
Canola oil - Oleic acid - Methanol/Ethanol/Propanol,303.15,0.0,0.0,0.5287573726773998,0.956936068946087,0.0,0.0,0.07479821230862063,0.3515936754051219
Castor oil biodiesel - Ethanol - Glycerol,298.15,0.9948643860301585,0.14459036753396196,0.0008851360934923467,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,298.15,0.15567542272801901,0.553446573819336,0.10251580491224978,0.0,0.0,0.0,0.0,0.0
Soybean oil - Oleic acid - Methanol/Ethanol - Water,303.15,0.0,0.0,0.492381789087149,0.8520633030906754,0.0,0.0,0.14906188876179008,1.4491079522927874
Palm oil - Oleic acid - Ethanol - Water,318.15,0.0,0.0,0.4152386054637633,0.8870095118101536,0.0,0.0,0.07298368500704501,0.2902279787107458
Oleic oil biodiesel - Methanol - Glycerol,298.15,1.9839491615295073,1.8879689927609347,0.24521465913595158,0.0,0.0,0.0,0.0,0.0
Castor oil biodiesel - Methanol - Glycerol,298.15,1.18402230052697,0.3753617304103591,0.028470507982838348,0.0,0.0,0.0,0.0,0.0
Babassu oil - Ethanol - Water,298.2,0.0,0.0,0.11904612633990538,0.21943757137254608,0.0,0.0,0.0,0.21810397678576018
Babassu oil - Ethanol - Water,318.2,0.0,0.0,0.22543500141427977,0.3576167665693179,0.0,0.0,0.0,0.4136433603389321
