Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Soybean oil biodiesel - Ethanol - Water,323.2,-2.1607516298371743,0.0,0.9223654490815438,0.0,0.0,0.0,0.0,1.5418835845808647
,318.15,-2.1622379252458996,1.7312520785895615,0.742835733217113,0.0,0.0,0.0,0.0,1.5324675680645425
Rapeseed oil biodiesel - Ethanol - Rapeseed oil,333.0,0.46386072459274236,0.0,-0.7497296667630661,1.3645819705886906,0.0,0.0,0.0,0.0
Coconut oil - Caporic ester - Ethanol,303.2,0.0,0.0,-0.3464300279113803,0.4399805558886264,0.0,0.0,0.0,0.0
Coconut oil biodiesel - Ethanol - Glycerol,293.15,-1.4269261050776079,1.606404842583943,0.27952062935864697,0.0,0.0,0.0,0.0,0.0
Refined cottonseed oil - Ethanol - Linoelic acid - Water,298.15,0.0,0.0,0.9000126028352845,-2.2473944074583048,0.0,0.0,-0.1310882557946191,1.1574307490838582
20 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,308.15,-1.9983999799412988,2.0372565409136225,0.9455667249409963,0.0,0.0,0.0,0.0,0.0
Refined rice bran oil biodiesel - DAG - MAG - Ethanol,303.2,0.0,0.0,-0.5722083950637594,0.8117243889983246,0.3092242188239993,-0.28369392292735446,0.0,0.0
Palm oil biodiesel - Ethanol - Glycerol,298.15,-2.061662109466891,1.6335623476936287,0.5284478869792238,0.0,0.0,0.0,0.0,0.0
Canola oil biodiesel - Methanol - Glycerol,323.15,-3.8947480211070795,2.8809286874012425,0.8519183318661673,0.0,0.0,0.0,0.0,0.0
Soybean oil - Ethyl linoleate - Linoleic acid - DAG - MAG - Ethanol,303.2,0.19306992169288142,0.0,-0.5216036794560346,0.7112019342103614,0.10102465265495647,-0.35435639460532553,-0.1347935988902276,0.0
Brazil Nut oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.25048230345219613,-0.5647745572999064,0.0,0.0,-0.039374047493423346,1.1227385360532462
Chicha oil biodiesel - Ethanol - Glycerol,303.15,-1.5893532691758463,1.8351837548234478,0.5074578740594797,0.0,0.0,0.0,0.0,0.0
Corn oil - Oleic acid - Methanol/Ethanol,303.15,0.0,0.0,-0.9288509225443915,1.3642060843809258,0.0,0.0,-0.03042037066479705,0.0
Fodder radish oil biodiesel - Ethanol - Water,298.2,-3.5778951660559333,0.0,0.8394928721286393,0.0,0.0,0.0,0.0,2.9716068886054976
Soybean oil biodiesel - Ethanol - Water,303.2,-2.571190909196169,0.0,0.6765642150745217,0.0,0.0,0.0,0.0,1.8665498088290795
Corn oil biodiesel - Methanol - Glycerol,313.15,-2.250416872300761,1.952123958776648,0.8860799964108914,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Methanol - Glycerol,298.15,-1.402438101107765,1.496456426231792,0.457765096557667,0.0,0.0,0.0,0.0,0.0
Canola oil biodiesel - Methanol - Glycerol,303.15,-2.2425684169284064,2.3825005513643234,0.7230824139094792,0.0,0.0,0.0,0.0,0.0
Chicha oil biodiesel - Ethanol - Glycerol,318.15,-1.8258108225841425,1.7426862908086713,0.4877741617270847,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,298.15,-2.076323172977347,2.0205519769614275,0.9596544923843359,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,303.15,-2.680585037085268,4.207651665655154,0.8735442963777256,0.0,0.0,0.0,0.0,0.0
Waste fish oil biodiesel - Methanol - Glycerol,328.15,-1.752672970123227,3.0701340848461975,0.9382083149803089,0.0,0.0,0.0,0.0,0.0
Cambre oil biodiesel - Ethanol - Glycerol,298.15,-1.8010368325108368,1.5867209360638175,0.5366634045983854,0.0,0.0,0.0,0.0,0.0
Triolein - Ethanol - Oleic acid,303.15,0.0,0.0,-0.6462983525968624,0.9700408945502446,0.0,0.0,-0.09725664566717375,0.0
Soybean oil biodiesel - Ethanol - Glycerol - Water,298.0,-1.9612467014751989,0.9735652329575768,0.6952251597590535,0.0,0.0,0.0,0.0,1.0818380968514192
Jatropha oil biodiesel - Methanol - Glycerol,318.15,-2.23678725505245,2.8503176304998146,0.4881180739458457,0.0,0.0,0.0,0.0,0.0
